SQ_CANDIDATO;NM_CANDIDATO;NM_UE_x;DS_CARGO;SG_PARTIDO;DS_TIPO_BEM_CANDIDATO;DS_BEM_CANDIDATO;VR_BEM_CANDIDATO
250001931709;VALDIR LUIZ PROVASI;BOITUVA;VEREADOR;REPUBLICANOS;Galpão;GALPAO;307000,00
250001931709;VALDIR LUIZ PROVASI;BOITUVA;VEREADOR;REPUBLICANOS;Depósito bancário em conta corrente no País;NUMERÁRIO EM MEU PODER;188,57
250001931709;VALDIR LUIZ PROVASI;BOITUVA;VEREADOR;REPUBLICANOS;Depósito bancário em conta corrente no País;NUMERÁRIO EM MEU PODER;41,81
250001931709;VALDIR LUIZ PROVASI;BOITUVA;VEREADOR;REPUBLICANOS;Depósito bancário em conta corrente no País;NUMERÁRIO EM MEU PODER;1993,69
250001931709;VALDIR LUIZ PROVASI;BOITUVA;VEREADOR;REPUBLICANOS;Depósito bancário em conta corrente no País;NUMERÁRIO EM MEU PODER;30000,00
250001931709;VALDIR LUIZ PROVASI;BOITUVA;VEREADOR;REPUBLICANOS;Depósito bancário em conta corrente no País;NUMERÁRIO EM MEU PODER;1,00
250001931709;VALDIR LUIZ PROVASI;BOITUVA;VEREADOR;REPUBLICANOS;Depósito bancário em conta corrente no País;NUMERÁRIO EM MEU PODER;10000,00
250001931709;VALDIR LUIZ PROVASI;BOITUVA;VEREADOR;REPUBLICANOS;Terreno;1/5 DE LOTE DE TERRENO EM CESÁRIO LANGE;138936,40
250001931709;VALDIR LUIZ PROVASI;BOITUVA;VEREADOR;REPUBLICANOS;Terreno;1/5 DE TERRENO EM CERQUILHO SP;53530,00
250001931709;VALDIR LUIZ PROVASI;BOITUVA;VEREADOR;REPUBLICANOS;Terreno;LOTE DE TERRENO EM BOITUVA SP;232092,31
250001931709;VALDIR LUIZ PROVASI;BOITUVA;VEREADOR;REPUBLICANOS;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;AUTOMÓVEL FIAT  2016/2017;25000,00
250001931709;VALDIR LUIZ PROVASI;BOITUVA;VEREADOR;REPUBLICANOS;Casa;IMOVEL RESIDENCIAL;82249,56
250001931709;VALDIR LUIZ PROVASI;BOITUVA;VEREADOR;REPUBLICANOS;Casa;IMOVEL RESIDENCIAL ;76586,25
250001931709;VALDIR LUIZ PROVASI;BOITUVA;VEREADOR;REPUBLICANOS;Casa;IMOVEL RESIDENCIAL;93600,00
250001931661;RODRIGO CALZZETTA FREIRE;BOITUVA;VEREADOR;SOLIDARIEDADE;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Automovel Nissan Versa ;43600,00
250001931661;RODRIGO CALZZETTA FREIRE;BOITUVA;VEREADOR;SOLIDARIEDADE;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Autmovel marca Peugeot;26000,00
250001931661;RODRIGO CALZZETTA FREIRE;BOITUVA;VEREADOR;SOLIDARIEDADE;Depósito bancário em conta corrente no País;Credio em conta Corrente;804,58
